Date,Open,High,Low,Close,Adj Close,Volume
25/7/2019,4.55,4.55,4.455,4.455,3.828733,1000
26/7/2019,4.455,4.455,4.455,4.455,3.828733,0
29/7/2019,4.58,4.58,4.35,4.58,3.936162,800
30/7/2019,4.58,4.58,4.35,4.58,3.936162,800
31/7/2019,4.44,4.44,4.44,4.44,3.815842,1500
1/8/2019,4.58,4.58,4.35,4.44,3.815842,100
2/8/2019,4.4,4.4,4.37,4.39,3.772871,800
5/8/2019,4.465,4.66,4.465,4.5,3.867408,600
6/8/2019,4.54,4.75,4.54,4.75,4.082264,800
7/8/2019,4.54,4.75,4.54,4.75,4.082264,100
8/8/2019,4.74,4.74,4.56,4.74,4.073669,1600
9/8/2019,4.74,4.74,4.56,4.74,4.073669,100
12/8/2019,4.41,4.41,4.27,4.27,3.66974,2500
13/8/2019,4.41,4.43,4.35,4.43,3.807248,600
14/8/2019,4.35,4.35,4.35,4.35,3.738493,500
15/8/2019,4.4065,4.4065,4.4065,4.4065,3.787052,600
16/8/2019,4.51,4.51,4.51,4.51,3.876002,0
19/8/2019,4.435,4.6,4.35,4.35,3.738493,2800
20/8/2019,4.4,4.48,4.35,4.48,3.850219,2800
21/8/2019,4.3825,4.47,4.3825,4.47,3.841624,3700
22/8/2019,4.47,4.47,4.47,4.47,3.841624,0
23/8/2019,4.7,4.9,4.5,4.9,4.211177,1100
26/8/2019,4.445,4.56,4.392,4.56,3.918973,10800
27/8/2019,4.52,4.54,4.47,4.47,3.841624,2000
28/8/2019,4.43,4.43,4.33,4.35,3.738493,2900
29/8/2019,4.62,4.62,4.62,4.62,3.970538,500
30/8/2019,4.565,4.91,4.22,4.22,3.626769,2300
3/9/2019,4.55,4.55,4.55,4.55,3.910379,100
4/9/2019,4.63,4.63,4.396,4.55,3.910379,2500
5/9/2019,4.52,4.52,4.4,4.4,3.781465,600
6/9/2019,4.65,4.65,4.65,4.65,3.996321,700
9/9/2019,4.56,4.56,4.56,4.56,3.918973,400
10/9/2019,4.62,4.62,4.57,4.57,3.927567,400
11/9/2019,4.57,4.69,4.57,4.69,4.030698,1300
12/9/2019,4.64,4.72,4.64,4.72,4.05648,2100
13/9/2019,5,5,4.77,4.77,4.099452,1000
16/9/2019,4.77,4.77,4.77,4.77,4.099452,0
17/9/2019,4.77,4.77,4.77,4.77,4.099452,100
18/9/2019,4.65,4.85,4.575,4.85,4.168205,5800
19/9/2019,4.61,4.61,4.5715,4.61,3.961944,10000
20/9/2019,4.7,4.74,4.58,4.67,4.013509,2500
23/9/2019,4.553,4.63,4.553,4.63,3.979133,5400
24/9/2019,4.58,4.7,4.58,4.7,4.039292,700
25/9/2019,4.72,4.72,4.55,4.55,3.910379,1900
26/9/2019,4.56,4.56,4.56,4.56,3.918973,300
27/9/2019,4.76,4.76,4.76,4.76,4.090858,1100
30/9/2019,4.74,4.74,4.35,4.692,4.032417,16500
1/10/2019,4.64,4.74,4.45,4.645,3.992024,85100
2/10/2019,4.72,4.72,4.4,4.6,3.95335,70800
3/10/2019,4.69,4.69,4.4,4.45,3.824436,107300
4/10/2019,4.52,4.59,4.45,4.585,3.940458,19200
7/10/2019,4.65,4.65,4.4,4.54,3.901784,16800
8/10/2019,4.6499,4.6499,4.25,4.355,3.742791,38600
9/10/2019,4.39,4.42,4.235,4.3,3.695523,8400
10/10/2019,4.3,4.31,4.1,4.21,3.618174,7500
11/10/2019,4.2105,4.2105,4.1,4.1,3.523638,1200
14/10/2019,4.15,4.235,4.15,4.22,3.626769,5900
15/10/2019,4.18,4.18,4.09,4.1145,3.5361,7500
16/10/2019,4.27,4.27,4.16,4.16,3.575203,2100
17/10/2019,4.2,4.22,4.16,4.165,3.579501,2800
18/10/2019,4.1395,4.25,4.1395,4.24,3.643957,13900
21/10/2019,4.3,4.3,4.08,4.24,3.643957,9000
22/10/2019,4.25,4.27,4.18,4.27,3.66974,4600
23/10/2019,4.21,4.26,4.2,4.213,3.620753,1300
24/10/2019,4.22,4.22,4.08,4.13,3.549421,7400
25/10/2019,4.2,4.2,4.1285,4.17,3.583798,3700
28/10/2019,4.17,4.4,4.16,4.4,3.781465,3700
29/10/2019,4.3,4.31,4.24,4.3,3.695523,5200
30/10/2019,4.246,4.3008,4.18,4.3,3.695523,6100
31/10/2019,4.26,4.26,4.15,4.15,3.566609,6600
1/11/2019,4.244,4.32,4.244,4.32,3.712712,1500
4/11/2019,4.45,4.45,4.25,4.4499,3.824351,7200
5/11/2019,4.45,4.45,4.26,4.26,3.661146,4800
6/11/2019,4.2475,4.2475,4.15,4.1725,3.585946,900
7/11/2019,4.16,4.35,4.16,4.3,3.695523,19300
8/11/2019,4.33,4.34,4.245,4.34,3.7299,5500
11/11/2019,,4.35,4.14,4.25,3.652551,11400
12/11/2019,4.34,4.34,4.3,4.3225,3.71486,6400
13/11/2019,4.2295,4.34,4.17,4.17,3.583798,10900
14/11/2019,4.21,4.41,4.21,4.41,3.79006,9300
15/11/2019,4.42,4.44,4.349,4.4085,3.788771,6700
18/11/2019,4.4,4.5,4.3,4.5,3.867408,6600
19/11/2019,4.456,4.456,4.32,4.37,3.755682,7000
20/11/2019,4.328,4.42,4.3,4.32,3.712712,1700
21/11/2019,4.38,4.5,4.38,4.5,3.867408,7500
